169.0;163.0;124.0
59.0;55.0;50.0
57.0;53.0;47.0
65.0;63.0;56.0
63.0;58.0;53.0
64.0;60.0;54.0
65.0;60.0;54.0
74.0;67.0;63.0
82.0;75.0;69.0
91.0;84.0;77.0
95.0;87.0;80.0
79.0;71.0;66.0
87.0;80.0;73.0
84.0;77.0;70.0
90.0;82.0;77.0
88.0;81.0;74.0
92.0;84.0;78.0
89.0;82.0;75.0
85.0;77.0;71.0
86.0;79.0;71.0
82.0;76.0;69.0
87.0;82.0;74.0
83.0;80.0;70.0
85.0;80.0;71.0
80.0;75.0;67.0
74.0;72.0;63.0
77.0;73.0;65.0
78.0;75.0;66.0
77.0;72.0;65.0
77.0;72.0;65.0
70.0;67.0;60.0
82.0;78.0;69.0
94.0;85.0;80.0
50.0;42.0;40.0
37.0;31.0;27.0
39.0;33.0;28.0
40.0;34.0;28.0
42.0;35.0;30.0
44.0;36.0;31.0
44.0;37.0;32.0
48.0;40.0;34.0
42.0;36.0;30.0
49.0;42.0;37.0
46.0;39.0;34.0
50.0;42.0;39.0
49.0;41.0;36.0
47.0;39.0;35.0
48.0;40.0;35.0
45.0;37.0;33.0
47.0;40.0;36.0
45.0;38.0;34.0
46.0;38.0;33.0
45.0;37.0;32.0
45.0;39.0;35.0
46.0;38.0;33.0
45.0;37.0;32.0
49.0;40.0;36.0
49.0;40.0;36.0
50.0;41.0;36.0
54.0;45.0;42.0
79.0;68.0;67.0
96.0;83.0;80.0
113.0;97.0;95.0
103.0;89.0;86.0
101.0;86.0;83.0
111.0;95.0;92.0
114.0;98.0;93.0
122.0;104.0;99.0
66.0;56.0;52.0
53.0;50.0;44.0
66.0;57.0;54.0
93.0;78.0;76.0
115.0;99.0;90.0
102.0;86.0;78.0
148.0;118.0;111.0
175.0;143.0;138.0
207.0;177.0;173.0
213.0;182.0;179.0
210.0;180.0;178.0
174.0;152.0;157.0
169.0;148.0;152.0
170.0;147.0;149.0
152.0;131.0;131.0
151.0;132.0;134.0
158.0;138.0;139.0
157.0;137.0;138.0
149.0;131.0;133.0
146.0;129.0;131.0
143.0;126.0;127.0
140.0;124.0;126.0
